zip,city,state,latitude,longitude
10001,New York,NY,40.750742,-73.99653
30301,Atlanta,GA,33.749,-84.38798
60601,Chicago,IL,41.88531,-87.6217
73301,Austin,TX,30.266666,-97.73333
90001,Los Angeles,CA,33.97395,-118.2484
94102,San Francisco,CA,37.7793,-122.419
80202,Denver,CO,39.752998,-104.999
02108,Boston,MA,42.357,-71.0636
98101,Seattle,WA,47.61002,-122.334
33101,Miami,FL,25.77508,-80.1947
85001,Phoenix,AZ,33.44838,-112.074
19103,Philadelphia,PA,39.95227,-75.1703
48201,Detroit,MI,42.34866,-83.058
97204,Portland,OR,45.51898,-122.679
20001,Washington,DC,38.9072,-77.0369
37201,Nashville,TN,36.16266,-86.7816
15222,Pittsburgh,PA,40.4473,-79.993
44101,Cleveland,OH,41.49932,-81.6944
55401,Minneapolis,MN,44.98333,-93.26667
73101,Oklahoma City,OK,35.46756,-97.5164
